,latitude,longitude,name,Address,Area,Cost for two,Cuisine,Hours,Ratings,Type,Votes,Food-choices
2604,22.5794096,88.4599092,Kafe Shot," 2nd Floor, Axis Mall, Block CS, Major Arterial Road, Rajarhat New Town, Kolkata","Axis Mall, Rajarhat New Town",500," Cafe, Fast Food, Beverages",                                12 Noon to 9:30 PM (Mon-Sun),2.7,Cafe,16 votes,
2605,22.6017795,88.4289063,Appayan," AE 3, Rabindrapally, Krishnapur, Kestopur, Kolkata",Kestopur,150, South Indian,                                7 AM to 10:30 PM (Mon-Sun),3.1,Quick Bites,10 votes,
2606,22.584528572,88.3333148807,Deshapriya," 5, Panchanantala",Howrah Maidan Area,100, Desserts,                                6:30 AM to 10 PM (Mon-Sun),3,Dessert Parlor,6 votes,
2607,22.5124157186,88.3217103034,Red Rose Fast Food Center,,,,,,,,,
2608,22.590765,88.3410097,Upper Cakes," 57, Vivekananda Road, Near Aashirwad Nursing Home, Girish Park, Kolkata",Girish Park,250, Bakery,                                10 AM to 10 PM (Mon-Sun),3.1,Bakery,9 votes,
2609,22.5851538,88.3339893,Pal Brothers,,,,,,,,,
2610,22.622061,88.4062552,Lucknow," 57/5, Ballygunge Circular Road, Ballygunge, Kolkata",Ballygunge,900," Lucknowi, Biryani, North Indian","                                12 Noon to 3 PM, 6 PM to 11 PM (Mon-Sun)",3.3,Casual Dining,65 votes,"Firni,MuttonBiryani,HandiBiryani"
2611,22.5448762,88.3546126,Sharma Sweets," 177, Sarat Bose Road, Desapriya Park, Kolkata",Desapriya Park,100, Mithai,                                7 AM to 9 PM (Mon-Sun),3.7,Sweet Shop,67 votes,"GulabJamun,Dhokla,Rabri,KachoriSabzi,Chaat,SweetLassi,DahiVada"
2612,22.5859528,88.4228564,Chef & Bakers,,,,,,,,,
2613,22.6012688365,88.3760733157,Platter," 185 A, Raja Dhinendra Street, Near Desh Bandhu Ladies Park Gate, Shyam Bazar, Kolkata",Shyam Bazar,300, Fast Food,"                                10:30 AM to 3 PM, 5 PM to 10 PM (Mon, Tue, Wed, Thu...",3.3,Quick Bites,27 votes,
2614,22.5093428,88.3673952,Poter Bibi,,,,,,,,,"ChickenKasha,Luchi,FishFry,FishRoll"
2615,22.6055402496,88.4112183005,The Chocolatier," 42/43, Akhiya Villa, Block C, Bangur, Kolkata",Bangur,200," Bakery, Desserts",                                11 AM to 9 PM (Mon-Sun),3.5,"Bakery,Dessert Parlor",48 votes,
2616,22.6055402496,88.4112183005,The Spice Tree," Ground Floor, Metro Plaza Shopping Centre, 1, Ho Chi Minh Sarani, Russel Street, Kolkata","Metro Plaza Shopping Centre, Russel Street",250, Fast Food,                                11 AM to 9:30 PM (Mon-Sun),3.2,Quick Bites,15 votes,
2617,22.7111301,88.4755252,Fresh & More,,,,,,,,,
2618,22.41656,88.411832,RR Kaizen," 336, Naskarpara, Near Harinavi Municipality, Manikpur, Narendra Pur, Kolkata",Narendra Pur,400," Bengali, Fast Food",                                12:30 PM to 9:30 PM (Mon-Sun),2.9,Quick Bites,8 votes,
2619,22.41656,88.411832,Maa Durga Sweets," 49, Nagendranath Mukherjee Road, Panihati, Sodepur, Kolkata",Sodepur,100, Mithai,                                6 AM to 11 PM (Mon-Sun),3,"Dessert Parlor,Sweet Shop",9 votes,
2620,22.5240366,88.3474979,Khalsa Hotel," 12, Hazra Road, Near Auto Stand, Hazra, Kolkata",Hazra,300, North Indian,                                10:30 AM to 12 Midnight (Mon-Sun),2.9,Casual Dining,10 votes,
2621,22.4654459,88.4048139,Matri Hotel & Restaurant," Tentulberia, 1177, Garia Station Road, Garia, Kolkata",Garia,200, Fast Food,                                11 AM to 11 PM (Mon-Sun),2.6,Casual Dining,13 votes,
2622,22.4585768,88.3833356,One Minute Snacks," 30, Garia Main Road, Garia, Kolkata",Garia,300," South Indian, Chinese, North Indian",                                9 AM to 10 PM (Mon-Sun),3,Casual Dining,12 votes,
2623,22.5717980468,88.4086859599,Sundaram Restaurant," Utsav Guest House, 1A 275, Sector 3, Salt Lake","Sector 3, Salt Lake",500," North Indian, South Indian, Chinese",                                12 Noon to 10:30 PM (Mon-Sun),2.9,Casual Dining,4 votes,
2624,22.4857704406,88.3611987904,Royal Food Valley,,,,,,,,,
2625,22.5779733,88.3692699,Yum Yum Food Corner," 14, Raja Rammohan Ray Sarani, College Street, Kolkata",College Street,300," Chinese, North Indian, Street Food",                                1 PM to 10:30 PM (Mon-Sun),2.8,Quick Bites,8 votes,
2626,22.5135025462,88.3980181441,Ubique City," 165/4, Rajdanga Main Road, Kasba, Kolkata",Kasba,400," North Indian, Chinese, Mughlai",                                8 AM to 10 PM (Mon-Sun),2.7,Casual Dining,5 votes,
2627,22.593298,88.27022,Neptune The Bar - Fortune Park Panchwati," Fortune Park Panchwati, Kona Exp Way, Howrah","Fortune Park Panchwati, Kona Expressway",1400, Finger Food,                                11 AM to 11 PM (Mon-Sun),2.9,"Bar,Casual Dining",7 votes,
2628,22.6195037,88.432674,Aranyak," Hotel Host International, Teghoria, V.I.P. Road, Baguihati, Kolkata","Hotel Host International, VIP Road",850," Chinese, Continental, North Indian",                                11 AM to 11 PM (Mon-Sun),3,"Casual Dining,Bar",11 votes,
2629,22.5709463518,88.3567453176,King Khan," 267, B.B. Ganguly Street, Bow Bazar, Kolkata",Bow Bazar,450," North Indian, Chinese, Mughlai",                                11 AM to 9:30 PM (Mon-Sun),2.8,Casual Dining,20 votes,
2630,22.5248,88.3254083333,Hotel Saini Inn," 8/1E, Diamond Harbour Road, New Alipore, Kolkata",New Alipore,500," North Indian, Chinese","                                11 AM to 3 PM, 6 PM to 10 PM (Mon-Sun)",2.8,Casual Dining,6 votes,
2631,22.540982,88.3568301,Iinferno Lounge Bar - Park Prime," Hotel Park Prime, 226, A.J.C. Bose Road, Minto Park, Kolkata","Park Prime, Minto Park",1700," Italian, Chinese, North Indian, Mediterranean","                                7:30 PM to 11:30 PM (Mon, Wed, Thu, Fri, Sat, Sun)...",2.6,Lounge,46 votes,
2632,22.6234417,88.4415808,Gayen's," Atghara Chinnar Park, Near City Centre 2, Rajarhat New Town, Kolkata",Rajarhat New Town,350," Street Food, Chinese",                                10 AM to 11 PM (Mon-Sun),3.1,Quick Bites,32 votes,FriedRice
2633,22.5039365,88.4005597,Ruchira,,,,,,,,,
2634,22.5160676608,88.3887266368,Abar Khaboo," 26/42, Dum Dum Road, Near Chira More, Paikpara, Kolkata",Paikpara,300," Biryani, Chinese",                                11 AM to 10 PM (Mon-Sun),3.2,Quick Bites,10 votes,
2635,22.586225288,88.3676256984,Kum Kum Fast Food Centre," 49, Bidhan Sarani, Hatibagan, Kolkata",Hatibagan,250, Fast Food,                                12 Noon to 10 PM (Mon-Sun),2.5,Quick Bites,40 votes,"Momos,ChikenRoll,BidhanSarani,Chowmein,ChilliChicken"
2636,22.4959638,88.3701941,Bazeegar," 56, Central Road, Near Cube Centre, Jadavpur, Kolkata",Jadavpur,200," Street Food, Chinese, Rolls",                                12 Noon to 10:30 PM (Mon-Sun),3.4,Quick Bites,81 votes,"FishFry,Noodles,ChikenRoll,Chowmein,VeggieRoll,ChickenEggRoll"
2637,22.5856038,88.3988683,Shivam Dhaba," 26/0, Duttabad Road, Near New Flyover, Sector 1, Salt Lake","Sector 1, Salt Lake",400," North Indian, Chinese, Street Food",                                12 Noon to 11 PM (Mon-Sun),3.1,Dhaba,20 votes,
2638,22.6344906,88.4349837,Pakawan Restaurant," Kristikunj Building, Kaikhali Goshpara, Kaikhali, Kolkata",Kaikhali,400," Chinese, North Indian",                                11:30 AM to 11 PM (Mon-Sun),2.9,Casual Dining,15 votes,
2639,22.6035553,88.4244067,Aahar Hotel & Restaurant," AB 46, Prafulla Kanan, Kestopur, Kolkata",Kestopur,300, Chinese,"                                12 Noon to 4 PM, 5 PM to 10 PM (Mon-Sun)",2.5,Casual Dining,17 votes,
2640,22.6091331,88.4312162,Alochaya Fast Food," HC1, Ashwini Nagar, V.I.P. Road, Baguihati, Kolkata",Baguihati,150," Chinese, Street Food",                                11 AM to 10 PM (Mon-Sun),2.7,Quick Bites,9 votes,
2641,22.5129252185,88.3487761393,South n North," 30, Southern Avenue, Kolkata",Southern Avenue,150," South Indian, Street Food",                                11 AM to 10:30 PM (Mon-Sun),3.2,Quick Bites,31 votes,"DahiVada,MasalaDosa,Chaat"
2642,22.5180002,88.3523824,Mini Box," 81, Sarat Bose Road",Desapriya Park,200, Street Food,"                                11 AM to 1 PM, 4 PM to 9 PM (Mon-Sun)",2.3,"Quick Bites,Kiosk",66 votes,"HakkaNoodles,GravyChowmein,ChilliChicken,ChickenChow"
2643,22.4919393,88.4028914,Ambalika Food Plaza," 12/1, Mukundapur, Ajoy Nagar, Kolkata",Ajoy Nagar,350," North Indian, Chinese, Bengali","                                11 AM to 10 PM (Mon-Sat),Closed (Sun)",2.8,Casual Dining,4 votes,
2644,22.6012719318,88.3737263829,Kali Kebin," 210, A.P.C. Road, Shyam Bazar, Kolkata",Shyam Bazar,250," Bengali, North Indian",                                10 AM to 11 PM (Mon-Sun),2.8,Casual Dining,11 votes,
2645,22.5026758,88.3918667,Tripti Snacks Corner," 87, Purbachal Road, Kalikapur, Kolkata",Kalikapur,250, North Indian,                                11 AM to 11 PM (Mon-Sun),3.1,Quick Bites,20 votes,
2646,22.587309677,88.3420189843,Sudha Restaurant,,,,,,,,,
2647,22.5865432071,88.3342720941,Haji Biryani House," 364, Belilious Road, Howrah Maidan Area, Howrah",Howrah Maidan Area,150, Biryani,                                12 Noon to 10 PM (Mon-Sun),2.8,Quick Bites,8 votes,
2648,22.5866924152,88.3418959379,Shri Ram Bhojnalaya," P1, Mukhram Kanoria Road, Howrah Station Area, Howrah",Howrah Station Area,250, North Indian,                                8 AM to 11 PM (Mon-Sun),3,Casual Dining,12 votes,
2649,22.5736240185,88.3650232852,Mini Restaurant," 25, Surya Sen Street, College Street, Kolkata",College Street,450," Chinese, North Indian, Bengali",                                11:30 AM to 11 PM (Mon-Sun),2.4,Casual Dining,25 votes,
2650,22.4957005,88.3395678,Snacks Corner,,,,,,,,,
2651,22.5633646,88.3515952,New Chowringee Cabin," 9, Jawaharlal Nehru Road, New Market Area, Kolkata",New Market Area,350, Fast Food,                                10 AM to 10:30 PM (Mon-Sun),2.3,Quick Bites,24 votes,
2652,22.5210416,88.3642641,Shree Hari Mistanna Bhandar,,,,,,,,,
2653,22.560014,88.3516711,Shakes & Sandwich," Humayun Place Road, New Market Area, Kolkata",New Market Area,250, Fast Food,                                10 AM to 10 PM (Mon-Sun),3,Quick Bites,27 votes,"Shakes,Momos,ChickenSandwich,ChickenSandwiches,CheeseSandwich"
2654,22.4998112,88.345525,Narendra Mistanna Bhandar," 235/1A, Deshpran Sasmal Road, Tollygunge, Kolkata",Tollygunge,100, Mithai,                                7 AM to 10 PM (Mon-Sun),3.2,Sweet Shop,21 votes,
2655,22.6228734,88.4131313,Paul's," 11, Gourhata More, Dum Dum Road, Dum Dum, Kolkata",Dum Dum,300," Chinese, North Indian, Street Food",                                11 AM to 11 PM (Mon-Sun),2.3,Quick Bites,26 votes,
2656,22.6228734,88.4131313,New La Zawab," 177/1, Diamond Harbour Road, Near 3A Bus Stand, Thakur Pukur, Kolkata",Thakur Pukur,350," Chinese, North Indian",                                11 AM to 11 PM (Mon-Sun),2.9,Quick Bites,25 votes,
2657,22.552306,88.4069655,Banalata," B47, Sector B, Metropolitan Co-operative Housing Societ, Science City Area, Kolkata",Science City Area,700," Italian, Chinese, North Indian, South Indian",                                24 Hours (Mon-Sun),2.8,Casual Dining,6 votes,
2658,22.7604803709,88.3699106053,Ramkrishayan Sweets," 10/8, S.N. Banerjee Road, Barrackpore, Kolkata",Barrackpore,100, Mithai,                                7 AM to 10 PM (Mon-Sun),2.9,Sweet Shop,24 votes,
2659,22.6383610144,88.3759281412,A 1 Haji Fast Food," 95, Gopal Lal Tagore Street, Baranagar, Kolkata",Baranagar,250," Fast Food, Street Food, Rolls",                                12 Noon to 11:30 PM (Mon-Sun),3.2,Quick Bites,40 votes,ChikenRoll
2660,22.5021094803,88.3627232909,Aryan's Pav Bhaji," 375, Prince Anwar Shah Road, Near South City Mall, Prince Anwar Shah Road, Kolkata",Prince Anwar Shah Road,150, Street Food,                                10 AM to 10:30 PM (Mon-Sun),3.3,Quick Bites,29 votes,"PavBhaji,Momos"
2661,22.5582884,88.3529298,Curd Corner,,,,,,,,,
